beta1	beta2	beta3	lmax
1.711947e+01	1.492803e+01	2.401599e+01	-9.410336
1.711953e+01	1.492803e+01	2.401593e+01	-9.410336
1.711959e+01	1.492799e+01	2.401587e+01	-9.410336
1.711965e+01	1.492800e+01	2.401581e+01	-9.410336
1.711970e+01	1.492798e+01	2.401576e+01	-9.410336
1.711976e+01	1.492797e+01	2.401571e+01	-9.410336
1.711982e+01	1.492796e+01	2.401566e+01	-9.410336
1.711987e+01	1.492794e+01	2.401561e+01	-9.410336
1.711993e+01	1.492793e+01	2.401556e+01	-9.410334
1.711999e+01	1.492793e+01	2.401550e+01	-9.410336
1.712004e+01	1.492790e+01	2.401543e+01	-9.410336
1.712010e+01	1.492789e+01	2.401539e+01	-9.410335
1.712016e+01	1.492788e+01	2.401534e+01	-9.410336
1.712022e+01	1.492786e+01	2.401527e+01	-9.410334
1.712027e+01	1.492786e+01	2.401523e+01	-9.410336
1.712033e+01	1.492784e+01	2.401517e+01	-9.410333
1.712039e+01	1.492783e+01	2.401512e+01	-9.410333
1.712044e+01	1.492782e+01	2.401505e+01	-9.410335
1.712050e+01	1.492781e+01	2.401502e+01	-9.410334
1.712056e+01	1.492779e+01	2.401496e+01	-9.410334
1.712062e+01	1.492778e+01	2.401491e+01	-9.410336
1.712067e+01	1.492776e+01	2.401485e+01	-9.410331
